trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
135,False,"{'a': 0.0962962962962963, 'e': 0.07407407407407407}",30,18,-27.05540743503214,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
136,False,"{'a': 0.09558823529411764, 'e': 0.07352941176470588}",20,5,-8.116366639611194,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
137,False,"{'a': 0.0948905109489051, 'e': 0.072992700729927}",25,15,42.038493455578575,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.09420289855072464, 'e': 0.07246376811594203}",25,11,31.61040486071476,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.09352517985611511, 'e': 0.07194244604316546}",25,16,36.269106446206884,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.09285714285714286, 'e': 0.07142857142857142}",20,6,-6.643916544436795,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
141,False,"{'a': 0.09219858156028368, 'e': 0.07092198581560284}",20,3,63.50648440676427,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.09154929577464789, 'e': 0.07042253521126761}",20,11,-24.05270376457785,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
143,False,"{'a': 0.09090909090909091, 'e': 0.06993006993006994}",20,0,-47.61287842351786,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
144,False,"{'a': 0.09027777777777778, 'e': 0.06944444444444445}",30,6,-52.74494151497342,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 1}",1
145,False,"{'a': 0.0896551724137931, 'e': 0.06896551724137931}",20,16,31.818209267279858,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.08904109589041095, 'e': 0.0684931506849315}",25,14,50.62347671357423,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.08843537414965986, 'e': 0.06802721088435375}",30,13,67.66235463089336,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
